created_p1,ip_address,time_sec_p1,mc_car_make_1,zip_code,created_p2,time_sec_p2,weeklyTravel,parking,respondentID,created_p3,time_sec_p3,maxdiff1_best,maxdiff1_worst,maxdiff2_best,maxdiff2_worst,maxdiff3_best,maxdiff3_worst,maxdiff4_best,maxdiff4_worst,maxdiff5_best,maxdiff5_worst,maxdiff6_best,maxdiff6_worst,created_p4,time_sec_p4,name_electric_vehicle,max_subsidy,created_p5,time_sec_p5,gender,yearOfBirth,age,income,feedback,total_time_min
2024-07-03T01:50:17Z,100.19.39.162,31,acura,19103,2024-07-02T20:50:49Z,244.99999999999997,once in 2 weeks,Street Parking,1251,2024-07-02T20:58:20Z,197,3,4,1,4,3,1,2,4,1,5,2,3,2024-07-02T20:54:54Z,206,Tesla - trial run- Zain,4,2024-07-02T21:01:38Z,66,Male,1986,38,"$60,000 to less than $75,000",Test Run - Zain,12.416666666666666
2024-07-03T05:45:07Z,35.144.38.41,134,chevrolet,87508,2024-07-03T00:47:20Z,233,once in 2 weeks,"Driveway/ Carport, Single-family garage",2603,2024-07-03T00:51:56Z,195,3,1,2,4,1,5,5,2,3,5,2,3,2024-07-03T00:51:11Z,46,Volt,4,2024-07-03T00:55:10Z,114,Male,1949,75,Prefer not to answer,Should ask about other vehicles,12.033333333333333
2024-07-03T05:49:34Z,73.208.228.64,69,hyundai,60175,2024-07-03T00:50:42Z,2153,once in 2 weeks,Single-family garage,2993,2024-07-03T01:27:29Z,196,4,1,5,4,1,3,1,4,1,4,1,1,2024-07-03T01:26:35Z,54,NA,6,2024-07-03T01:30:45Z,112,Male,1947,77,"$100,000 to less than $125,000",NA,43.06666666666667
2024-07-03T05:50:40Z,145.224.13.203,109,kia,79605,2024-07-03T00:52:28Z,237,once a week,Driveway/ Carport,3085,2024-07-03T00:57:36Z,201,1,4,1,3,2,4,1,4,4,3,1,3,2024-07-03T00:56:23Z,74,Tesla,6,2024-07-03T01:00:55Z,152,Male,1957,67,"$15,000 to less than $30,000",NA,12.883333333333333
2024-07-03T05:53:14Z,72.196.236.19,64,chevrolet,22152,2024-07-03T00:54:17Z,153,once in 2 weeks,Driveway/ Carport,2530,2024-07-03T00:57:26Z,182,1,3,1,2,4,1,4,1,1,4,2,4,2024-07-03T00:56:48Z,40,Tesla,6,2024-07-03T01:00:27Z,74,Male,1956,68,"$100,000 to less than $125,000",NA,8.55
2024-07-03T06:01:43Z,173.76.95.80,78,chevrolet,02351,2024-07-03T01:03:01Z,178,once a week,Single-family garage,2228,2024-07-03T01:06:44Z,178,5,3,1,3,1,5,1,2,3,5,2,4,2024-07-03T01:05:59Z,44,Tesla,6,2024-07-03T01:09:42Z,105,Male,1950,74,"$100,000 to less than $125,000",NA,9.716666666666667
2024-07-03T06:50:00Z,65.99.118.82,56,cadillac,03867,2024-07-03T01:50:56Z,183,once a month,Single-family garage,43,2024-07-03T01:55:09Z,159,4,3,2,5,5,3,3,5,2,3,1,2,2024-07-03T01:53:59Z,69,Tesla,6,2024-07-03T01:57:48Z,230,Male,1957,67,Prefer not to answer,NA,11.616666666666667
2024-07-03T08:08:49Z,71.64.24.54,69,honda,43210,2024-07-03T03:09:58Z,219,once in 2 weeks,Single-family garage,1262,2024-07-03T03:15:00Z,319,3,4,4,5,1,5,5,3,1,4,2,5,2024-07-03T03:13:37Z,82,Prius,4,2024-07-03T03:20:19Z,130,Male,1950,74,"$75,000 to less than $100,000",NA,13.65
2024-07-03T08:13:03Z,24.181.53.45,60,jeep,29657,2024-07-03T03:14:04Z,154,once in 2 weeks,Single-family garage,4307,2024-07-03T03:17:32Z,108,2,5,2,5,2,5,1,4,4,3,4,2,2024-07-03T03:16:39Z,53,Tesla,6,2024-07-03T03:19:20Z,77,Male,1959,65,"$100,000 to less than $125,000",NA,7.533333333333333
2024-07-03T08:51:59Z,70.112.22.163,67,ford,78737,2024-07-03T03:53:07Z,184,once a week,Driveway/ Carport,2233,2024-07-03T03:57:33Z,167,2,3,3,2,4,2,3,4,2,3,3,5,2024-07-03T03:56:11Z,82,Tesla,4,2024-07-03T04:00:20Z,113,Prefer not to answer,1958,66,"$75,000 to less than $100,000",NA,10.216666666666667
