"session","created","modified","ended","expired","time13","yearOfBirth","gender","hispanic","ethnicity","people","employment_status","income","education","housing","own_rent","electric_bill","political_views","party","time14","feedback","time15","completionCode"
"","2024-07-02 20:37:57","","","","2024-07-02 20:37:57","","","","","","","","","","","","","","","","",""
"14O4L40kYKB5Sn5-utDEc_OpRiBK_iVw3VYTTLTJ-_0ncwZkvUEI_rQaClNl8TCw","2024-07-02 21:01:38","2024-07-02 21:02:44","2024-07-02 21:02:44","","2024-07-02 21:01:38","1986","Male","No","American Indian or Alaskan Native, Asian, Middle Eastern and North African (MENA), Native Hawaiian or Other Pacific Islander","2","Employed, working 1-39 hours per week.","$60,000 to less than $75,000","Master's degree","Building with 2-4 apartments/condos/studios","2","$0 - $100","4","prefer_not_say","2024-07-02 21:02:32","Test Run - Zain","2024-07-02 21:02:41","844470"
"QN0f2UxiADEYr8G7VuvTddhIuEXhoOLBfEjmAwQ55W7yEQABoRM5VMoxUWgxIega","2024-07-03 00:55:10","2024-07-03 00:57:02","2024-07-03 00:57:04","","2024-07-03 00:55:12","1949","Male","No","White","1","Retired.","Prefer not to answer","Ph.D. or M.D","Single family house not attached to any other house","1","$300 - $400","3","republican","2024-07-03 00:56:24","Should ask about other vehicles ","2024-07-03 00:56:55","833680"
"HGhk25W7Sbc3EAr8CAsKKCQyK1E1eMxdOHaKoTtX-FPFHGcWGJ6GoXYG9BrcHtEz","2024-07-03 01:00:27","2024-07-03 01:01:39","2024-07-03 01:01:41","","2024-07-03 01:00:28","1956","Male","No","White","2","Retired.","$100,000 to less than $125,000","Some college - two years or more/A.A. degree","Single family house not attached to any other house","1","$0 - $100","3","independent","2024-07-03 01:01:33","","2024-07-03 01:01:35","772883"
"UB5r0P73KFEk807YFouZMuZLM0kOCQT_Xv90M3UXtEfcZiEz_hgsAgXo1crMpmrB","2024-07-03 01:00:55","2024-07-03 01:03:27","2024-07-03 01:03:27","","2024-07-03 01:00:57","1957","Male","No","White","2","Retired.","$15,000 to less than $30,000","High school degree or equivalent (e.g. GED)","Single family house not attached to any other house","1","$100 - $200","2","republican","2024-07-03 01:03:10","","2024-07-03 01:03:21","945580"
"eRfhWRDslJPwazJT4snqlciWnMr43jZMQCmrJYGZeX3ctxRT3lzyeXLJowYXzLBl","2024-07-03 01:09:42","2024-07-03 01:11:27","2024-07-03 01:11:27","","2024-07-03 01:09:42","1950","Male","No","White","2","Retired.","$100,000 to less than $125,000","College graduate/bachelor's degree/B.A./B.S.","Single family house not attached to any other house","1","$100 - $200","3","democratic","2024-07-03 01:11:15","","2024-07-03 01:11:22","677935"
"RcKWvX7cQfX9FyuSQHgqy-zF3l-E4_45Qcns_fvkmCnBgbciY-Yp_BqVvBrYxNX3","2024-07-03 01:30:45","2024-07-03 01:32:37","2024-07-03 01:32:37","","2024-07-03 01:30:45","1947","Male","No","White","2","Retired.","$100,000 to less than $125,000","Some college - two years or more/A.A. degree","Single family house attached to one or more houses (townhouse, rowhome, condo, duplex, triplex, etc.)","1","$0 - $100","4","prefer_not_say","2024-07-03 01:32:25","","2024-07-03 01:32:30","551638"
"GaMe6if1f1ICKMXSLnKmbwKjVOXz0hOcRLPymy1egVDo_wTUQ3tu0MhhdAexXDoC","2024-07-03 01:57:48","2024-07-03 02:01:37","2024-07-03 02:01:38","","2024-07-03 01:57:49","1957","Male","No","White","2","Retired.","Prefer not to answer","Some college - two years or more/A.A. degree","Single family house not attached to any other house","1","$0 - $100","2","independent","2024-07-03 02:01:24","","2024-07-03 02:01:32","916187"
"7JC73xp2EPXgR4Gq41BbJMQW3I9sUwxYELEyA7vKu7DXShQmFfJ_jPPWz1P-buSR","2024-07-03 03:19:20","2024-07-03 03:20:37","2024-07-03 03:20:37","","2024-07-03 03:19:20","1959","Male","No","White","2","Retired.","$100,000 to less than $125,000","M.B.A. or law degree","Single family house not attached to any other house","1","$100 - $200","1","republican","2024-07-03 03:20:28","","2024-07-03 03:20:32","128908"
"SwjAbpbUfo6PyfvFUOGVcWWzvjt2CQQFWvBABG_56d6C9Xamj5BKx_Cg4DncHrVF","2024-07-03 03:20:19","2024-07-03 03:22:28","2024-07-03 03:22:29","","2024-07-03 03:20:19","1950","Male","No","White","3","Retired.","$75,000 to less than $100,000","College graduate/bachelor's degree/B.A./B.S.","Single family house not attached to any other house","1","$200 - $300","2","independent","2024-07-03 03:22:10","","2024-07-03 03:22:20","634671"
