"session","created","modified","ended","expired","time1","current_car_purchase","current_car_status","current_car_price","monthlypayment","gas_mileage","weeklyTravel","fuel_type","parking","neighbor_info","time2","household_vehicle","ride_friend__carpool","walk_bicycle_scooter","taxi__uber","public_transit","time3","buying_timing","future_vehicle_type","future_car_condition","future_car_finance","future_car_price","future_downpayment","future_car_category","time4"
"JDPoXfV-NhwEzsZXyMuyyrWzZC-76N_z0Wx4iIgN0X0S16ChGRZM8O17w1_cPlxu","2024-07-03 01:17:36","2024-07-03 01:20:01","2024-07-03 01:20:01","","2024-07-03 01:17:36","New","No","$25,000 - $29,999","Paid all cash/ No loan","30 - 40 mpg","once in 2 weeks","Gasoline","Driveway/ Carport","No","2024-07-03 01:18:30","2-3 times a week","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-07-03 01:19:06","Within 1 year","Small Sedan","Used","Purchase","$25,000 - $29,999","$20,000 or more","Definitely not","2024-07-03 01:20:01"
"YBVRINCEVyv9zC02rHYNoSDP3HkXDD8-WkrsPxMsj1frUeyx2yrMu2ADe_X38BTF","2024-07-03 04:57:14","2024-07-03 04:57:53","2024-07-03 04:57:54","","2024-07-03 04:57:14","Received as a gift","Don't know","$45,000 - $49,999","$500 - $600","20 - 30 mpg","four times a week","Plug-in Hybrid","Driveway/ Carport","No","2024-07-03 04:57:32","About once a month","About once a week","About once a month","2-3 times a week","About once a month","2024-07-03 04:57:42","3-5 years into the future","Large Sedan, Compact SUV","I'm not sure","Purchase","$5,000 - $9999","$8,000 - $9,000","Probably not","2024-07-03 04:57:53"
"sLfHzTyqBIMRirF6VUqZIWYfnTA8iv0H9y0bXtqes2p94HE1auVnytONi4yxzvnq","2024-07-03 13:32:04","2024-07-03 13:35:04","2024-07-03 13:35:04","","2024-07-03 13:32:04","Used car from a dealer","No","$60,000 - $69,999","Paid all cash/ No loan","20 - 30 mpg","once a week","Gasoline","Single-family garage","No","2024-07-03 13:33:18","Less than once a month or never","About once a week","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-07-03 13:33:54","I'm not sure","Small Sedan, Sports Car","Used","Purchase","$70,000 - $79,999","$20,000 or more","Maybe/ Not sure","2024-07-03 13:35:04"
"d5QCNeNwc_fQCrpD8wKFB2cn09WKXSMSvZWUDw7nYBpsjBD7-pvM5odnDa9Zy4IR","2024-07-03 13:35:40","2024-07-03 13:37:18","2024-07-03 13:37:18","","2024-07-03 13:35:40","Received as a gift","No","$4,999 or less","Paid all cash/ No loan","10 - 20 mpg","twice a week","Gasoline","Driveway/ Carport, Other:","I'm not sure","2024-07-03 13:36:20","Once a day or more","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-07-03 13:36:43","10+ years into the future","Large Sedan","Used","Purchase","I'm not sure","I'm not sure","Definitely not","2024-07-03 13:37:18"
"ANElClx16oqiDavxka-LqfuvJ4fIAdeGhzEBB7bkiV3ZRYeDaQZTFRs7yernh8k9","2024-07-03 14:35:08","2024-07-03 14:38:28","2024-07-03 14:38:29","","2024-07-03 14:35:08","Used car from a dealer","No","$45,000 - $49,999","Paid all cash/ No loan","30 - 40 mpg","once in 2 weeks","Gasoline","Single-family garage, Other:","I'm not sure","2024-07-03 14:36:30","2-3 times a week","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-07-03 14:37:33","10+ years into the future","Compact SUV","Used","Purchase","$40,000 - $44,999, $45,000 - $49,999","I'm not sure","Probably not","2024-07-03 14:38:28"
"EE5tbcLO5qi87xJW7sE2d_ik5riq3MzYAVUv80EX0v2UUP05MtTLPcXgpsc0PbtE","2024-07-03 15:10:14","2024-07-03 15:12:55","2024-07-03 15:12:56","","2024-07-03 15:10:14","Used car informally","No","$4,999 or less","Paid all cash/ No loan","10 - 20 mpg","once a week","Gasoline","Driveway/ Carport","No","2024-07-03 15:11:09","4-5 times a week","Less than once a month or never","4-5 times a week","Less than once a month or never","Less than once a month or never","2024-07-03 15:11:51","I'm not sure","Do not know","Used","Purchase","I'm not sure","I'm not sure","Probably not","2024-07-03 15:12:56"
"6yRBbMy-S7ZhFwq7RDKf-28AM_c0zavSGQF8oAfz2w8E8916XDAIYq85m6xpny_n","2024-07-03 16:50:16","2024-07-03 16:52:30","2024-07-03 16:52:30","","2024-07-03 16:50:16","New","No","$40,000 - $44,999","Paid all cash/ No loan","10 - 20 mpg","once in 2 weeks","Gasoline, Other:","Driveway/ Carport, Single-family garage","Yes","2024-07-03 16:51:17","2-3 times a week","Less than once a month or never","About once a month","Less than once a month or never","Less than once a month or never","2024-07-03 16:51:41","1-2 years into the future","Sports Car","New","Purchase","$40,000 - $44,999","I'm not sure","Probably Yes","2024-07-03 16:52:30"
"zB-xsYFf0OSyDaghD-ZNUwOnDmtaoOQ0IM1l3dC_qsM7PMCGxUiLaFQy3Jyuh9Aa","2024-07-03 18:00:16","2024-07-03 18:04:03","2024-07-03 18:04:03","","2024-07-03 18:00:17","Used car from a dealer","No","$25,000 - $29,999","Paid all cash/ No loan","20 - 30 mpg","once in 2 weeks","Gasoline","Driveway/ Carport","No","2024-07-03 18:01:24","Once a day or more","About once a month","Once a day or more","Less than once a month or never","Less than once a month or never","2024-07-03 18:02:59","I'm not sure","Small Sedan, Compact SUV","Used","Purchase","$5,000 - $9999, $10,000 - $14,999","$1,000 - $2,000","Definitely not","2024-07-03 18:04:03"
"kbbPeox8nyFJYhiHhby5f4MKjArYKTo6CuiVDueTjGGVpqRWggGi21u7Pq1QSUvb","2024-07-03 20:18:23","2024-07-03 20:28:22","2024-07-03 20:28:22","","2024-07-03 20:18:23","Used car from a dealer","No","$15,000 - $19,999","$300 - $400","10 - 20 mpg","once a month","Gasoline","Driveway/ Carport, Single-family garage","No","2024-07-03 20:19:56","About once a week","Less than once a month or never","2-3 times a week","Less than once a month or never","Less than once a month or never","2024-07-03 20:21:53","I'm not sure","Large Sedan, Compact SUV","Used","Purchase","$15,000 - $19,999","$10,000 - $11,000","Probably Yes","2024-07-03 20:28:22"
"Ar1x1-5-v9FhD5eb6XNoQglB_PPbKE0GqvD-VQo4cUpKsr-H-BXO6CqJk-b5zKqo","2024-07-04 13:31:19","2024-07-04 13:34:03","2024-07-04 13:34:04","","2024-07-04 13:31:20","Used car from a dealer","No","$20,000 - $24,999","Paid all cash/ No loan","10 - 20 mpg","once a month","Gasoline","Single-family garage","No","2024-07-04 13:32:07","4-5 times a week","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-07-04 13:33:10","1-2 years into the future","Large SUV","Used","Purchase","$10,000 - $14,999","I'm not sure","Probably not","2024-07-04 13:34:04"
