"session","created","modified","ended","expired","time12","run_on_gas","plugged_in","electric_vehicle_Y_N","name_electric_vehicle","max_subsidy"
"","2024-07-02 20:37:03","","","","2024-07-02 20:37:04","","","","",""
"JDPoXfV-NhwEzsZXyMuyyrWzZC-76N_z0Wx4iIgN0X0S16ChGRZM8O17w1_cPlxu","2024-07-03 01:20:02","2024-07-03 01:20:47","2024-07-03 01:20:47","","2024-07-03 01:20:02","1, 2","3","Yes","Tesla","6"
"YBVRINCEVyv9zC02rHYNoSDP3HkXDD8-WkrsPxMsj1frUeyx2yrMu2ADe_X38BTF","2024-07-03 04:57:54","2024-07-03 04:58:04","2024-07-03 04:58:04","","2024-07-03 04:57:54","3","1","No","","2"
"sLfHzTyqBIMRirF6VUqZIWYfnTA8iv0H9y0bXtqes2p94HE1auVnytONi4yxzvnq","2024-07-03 13:35:04","2024-07-03 13:36:21","2024-07-03 13:36:21","","2024-07-03 13:35:04","1, 2","1, 2, 3","Yes","Chevrolet Bolt","6"
"d5QCNeNwc_fQCrpD8wKFB2cn09WKXSMSvZWUDw7nYBpsjBD7-pvM5odnDa9Zy4IR","2024-07-03 13:37:18","2024-07-03 13:37:50","2024-07-03 13:37:50","","2024-07-03 13:37:18","1, 2","2, 3","Yes","cybertrash","6"
"ANElClx16oqiDavxka-LqfuvJ4fIAdeGhzEBB7bkiV3ZRYeDaQZTFRs7yernh8k9","2024-07-03 14:38:29","2024-07-03 14:39:33","2024-07-03 14:39:34","","2024-07-03 14:38:29","1, 2","2, 3","Yes","Rivian","4"
"EE5tbcLO5qi87xJW7sE2d_ik5riq3MzYAVUv80EX0v2UUP05MtTLPcXgpsc0PbtE","2024-07-03 15:12:56","2024-07-03 15:13:36","2024-07-03 15:13:37","","2024-07-03 15:12:56","1, 2","2, 3","Yes","Tesla model S","6"
"6yRBbMy-S7ZhFwq7RDKf-28AM_c0zavSGQF8oAfz2w8E8916XDAIYq85m6xpny_n","2024-07-03 16:52:30","2024-07-03 16:53:08","2024-07-03 16:53:08","","2024-07-03 16:52:31","1","1, 2, 3","Yes","Tesla","6"
"zB-xsYFf0OSyDaghD-ZNUwOnDmtaoOQ0IM1l3dC_qsM7PMCGxUiLaFQy3Jyuh9Aa","2024-07-03 18:04:04","2024-07-03 18:05:26","2024-07-03 18:05:26","","2024-07-03 18:04:04","1","3","Yes","Ford mustang March -E","6"
"kbbPeox8nyFJYhiHhby5f4MKjArYKTo6CuiVDueTjGGVpqRWggGi21u7Pq1QSUvb","2024-07-03 20:28:22","2024-07-03 20:29:20","2024-07-03 20:29:20","","2024-07-03 20:28:23","1, 2","2, 3","Yes","Mach E","6"
