"session","created","modified","ended","expired","time12","run_on_gas","plugged_in","electric_vehicle_Y_N","name_electric_vehicle","max_subsidy"
"","2024-03-27 16:29:15","","","","2024-03-27 16:29:15","","","","",""
"","2024-03-27 16:29:54","","","","2024-03-27 16:29:54","","","","",""
"","2024-03-27 16:30:06","2024-03-27 16:30:41","2024-03-27 16:30:41","","2024-03-27 16:30:06","1, 2","2, 3","Yes","Tesla","4"
"","2024-03-27 16:30:46","","","","2024-03-27 16:30:46","","","","",""
"","2024-03-27 17:20:56","2024-03-27 17:21:07","2024-03-27 17:21:07","","2024-03-27 17:20:56","2","2","Yes","gfdgg","3"
"cautiousPrawnXXXTuVpjrR0bXbYuRwIY9AHVv9wFuInw9FTDC-aMhI-kMk5z0gm","2024-03-27 18:42:30","2024-03-27 18:42:41","2024-03-27 18:42:41","","2024-03-27 18:42:30","1, 2, 3, 4","1, 2, 3, 4","Yes","thank the formr monkey","1"
"giftedProboscisMonkeyXXXGTgx5FhqI2Fs0yuAMen6rupJyPdGQ3dKN2mLFB_E","2024-03-27 18:52:11","2024-03-27 18:52:31","2024-03-27 18:52:31","","2024-03-27 18:52:11","1, 2, 3, 4","1, 2, 3, 4","Yes","thank the formr monkey","1"
"GfosJznVOfCxQq3JLexprugoUs2CuN8A537MaNufoibwWQj4o8sEAi5xCTHmYc1X","2024-03-28 18:28:03","2024-03-28 18:28:26","2024-03-28 18:28:26","","2024-03-28 18:28:03","1, 3","2, 4","Yes","Tesla","2"
"vF11SRUnTKvb3vyWSNJretLPZh26V51CyYwuJTf9n3oPVJRaKo02CRj1lj0yZyBV","2024-03-28 18:30:59","2024-03-28 18:31:15","2024-03-28 18:31:15","","2024-03-28 18:30:59","2, 3","1, 2","Yes","Tesla","2"
"blushingTawnyOwlXXXhZZXymkqmDrthzK2jMrL_6TJxMabVnAfqLJ0SKahcznf4","2024-03-28 18:33:25","2024-03-28 18:33:29","2024-03-28 18:33:29","","2024-03-28 18:33:25","1, 2, 3, 4","1, 2, 3, 4","Yes","thank the formr monkey","1"
"","2024-03-28 18:37:36","","","","2024-03-28 18:37:36","","","","",""
"","2024-03-28 18:47:50","","","","2024-03-28 18:47:50","","","","",""
"NaA646sJHvaC5FvdjRb2hYlfwLedNv7x8ArxgLz8JPunpiM0FoLRBZuRuyNl3UhG","2024-03-28 18:55:54","2024-03-28 18:56:07","2024-03-28 18:56:08","","2024-03-28 18:55:54","2, 4","3","Yes","Tesla","3"
"funnyTarsierXXX2KQYhv-fnxHidX5joMDSj043Xfae-GNju66de-NzbGTmyIGJW","2024-03-28 20:09:35","2024-03-28 20:09:40","2024-03-28 20:09:40","","2024-03-28 20:09:35","1, 2, 3, 4","1, 2, 3, 4","Yes","thank the formr monkey","1"
