"session","created","modified","ended","expired","time13","yearOfBirth","gender","hispanic","ethnicity","people","employment_status","income","education","housing","own_rent","electric_bill","political_views","party","time14","feedback","time15","completionCode"
"","2024-03-27 17:21:57","2024-03-27 17:23:16","2024-03-27 17:23:17","","2024-03-27 17:21:57","1992","Male","No","Asian, White","2","Not employed, looking for work.","$125,000 to less than $150,000","Technical or trade school","Building with 2-4 apartments/condos/studios","2","$300 - $400","4","independent","2024-03-27 17:23:06","test","2024-03-27 17:23:12","272054"
"","2024-03-27 17:23:49","2024-03-27 17:24:40","2024-03-27 17:24:40","","2024-03-27 17:23:49","1998","Gender nonconforming","Yes","Black or African American, White","3","Employed, working 40 or more hours per week.","$125,000 to less than $150,000","College graduate/bachelor's degree/B.A./B.S.","Building with 2-4 apartments/condos/studios","2","$200 - $300","3","republican","2024-03-27 17:24:20","tewst","2024-03-27 17:24:26","618093"
"","2024-03-27 17:25:50","2024-03-27 17:26:39","2024-03-27 17:26:39","","2024-03-27 17:25:50","1999","Male","Yes","Black or African American, White","2","Not employed, looking for work.","$125,000 to less than $150,000","Master's degree","Building with 5-19 apartments/condos/studios","2","$100 - $200","4","republican","2024-03-27 17:26:28","tset","2024-03-27 17:26:34","808328"
"","2024-03-27 17:42:16","2024-03-27 17:42:54","2024-03-27 17:42:54","","2024-03-27 17:42:16","2001","Non-binary","No","Asian, White","3","Employed, working 1-39 hours per week.","$100,000 to less than $125,000","Master's degree","A mobile home or trailer","2","$100 - $200","4","republican","2024-03-27 17:42:45","test","2024-03-27 17:42:50","555139"
"","2024-03-27 17:43:40","","","","2024-03-27 17:43:41","","","","","","","","","","","","","","","","",""
"cautiousPrawnXXXTuVpjrR0bXbYuRwIY9AHVv9wFuInw9FTDC-aMhI-kMk5z0gm","2024-03-27 18:43:25","2024-03-27 18:43:42","2024-03-27 18:43:42","","2024-03-27 18:43:26","2004","Female","Yes","American Indian or Alaskan Native, Asian, Black or African American, Middle Eastern and North African (MENA), Native Hawaiian or Other Pacific Islander, White, Some other race:, Do not know/prefer not to answer","1","I am a full-time student.","Less than $15,000","Less than a high school diploma","Single family house not attached to any other house","1","$0 - $100","1","democratic","2024-03-27 18:43:33","thank the formr monkey
many times","2024-03-27 18:43:38","393181"
"giftedProboscisMonkeyXXXGTgx5FhqI2Fs0yuAMen6rupJyPdGQ3dKN2mLFB_E","2024-03-27 18:53:14","2024-03-27 18:53:30","2024-03-27 18:53:30","","2024-03-27 18:53:14","2004","Female","Yes","American Indian or Alaskan Native, Asian, Black or African American, Middle Eastern and North African (MENA), Native Hawaiian or Other Pacific Islander, White, Some other race:, Do not know/prefer not to answer","1","I am a full-time student.","Less than $15,000","Less than a high school diploma","Single family house not attached to any other house","1","$0 - $100","1","democratic","2024-03-27 18:53:18","thank the formr monkey
many times","2024-03-27 18:53:23","744625"
"funnyTarsierXXX2KQYhv-fnxHidX5joMDSj043Xfae-GNju66de-NzbGTmyIGJW","2024-03-28 20:10:22","2024-03-28 20:10:33","2024-03-28 20:10:33","","2024-03-28 20:10:22","2004","Female","Yes","American Indian or Alaskan Native, Asian, Black or African American, Middle Eastern and North African (MENA), Native Hawaiian or Other Pacific Islander, White, Some other race:, Do not know/prefer not to answer","1","I am a full-time student.","Less than $15,000","Less than a high school diploma","Single family house not attached to any other house","1","$0 - $100","1","democratic","2024-03-28 20:10:25","thank the formr monkey
many times","2024-03-28 20:10:29","695990"
"AGA4ueWCU6MKGB5EeWt8uKL6JVHHs5R5qwvJEt2ewR0psXIWyl4mU87PQylsfdHg","2024-03-28 20:22:41","2024-03-28 20:23:20","2024-03-28 20:23:20","","2024-03-28 20:22:41","1997","Female","Yes","Black or African American, Native Hawaiian or Other Pacific Islander","3","Not employed, looking for work.","$75,000 to less than $100,000","Some college - two years or more/A.A. degree","A mobile home or trailer","2","$100 - $200","3","republican","2024-03-28 20:23:11","rtest","2024-03-28 20:23:17","185999"
"AUMRM9rF-8sdmf2iQQ26xAqgern6Kbs5CMOkegAjbuLxed0UNMVu_JKkD3KQEBcr","2024-03-28 20:33:32","2024-03-28 20:34:31","2024-03-28 20:34:31","","2024-03-28 20:33:32","1996","Transgender","Yes","Black or African American, Native Hawaiian or Other Pacific Islander","4","Employed, working 1-39 hours per week.","$100,000 to less than $125,000","Some college - but less than two years of college","A mobile home or trailer","2","$100 - $200","6","republican","2024-03-28 20:34:20","test","2024-03-28 20:34:28","206247"
