"session","created","modified","ended","expired","time13","yearOfBirth","gender","hispanic","ethnicity","people","employment_status","income","education","housing","own_rent","electric_bill","political_views","party","time14","feedback","time15","completionCode"
"","2024-05-07 17:51:24","2024-05-07 17:51:40","","","2024-05-07 17:51:24","2004","Female","Yes","American Indian or Alaskan Native, Asian, Black or African American, Middle Eastern and North African (MENA), Native Hawaiian or Other Pacific Islander, White, Some other race:, Do not know/prefer not to answer","1","I am a full-time student.","Less than $15,000","Less than a high school diploma","Single family house not attached to any other house","1","$0 - $100","1","democratic","2024-05-07 17:51:34","test","2024-05-07 17:51:40","663133"
"McC2e384kmfybZ_4BNVDBjmaAYbByvHpFRfQQCGOWyNQBPfsN_J9aQv3twOwgiTx","2024-05-10 23:46:57","2024-05-10 23:48:49","2024-05-10 23:48:49","","2024-05-10 23:46:57","1954","Female","No","White","3","Retired.","$75,000 to less than $100,000","Technical or trade school","Single family house not attached to any other house","1","$200 - $300","3","democratic","2024-05-10 23:48:25","","2024-05-10 23:48:32","435837"
"IXVynoLBMIs6S4dEqZ6rpcqQyhKMxE8lXhdJ5uwlnjIBKNbCVsx1ycZP9WzmOIuD","2024-05-11 03:01:48","2024-05-11 03:03:19","2024-05-11 03:03:20","","2024-05-11 03:01:49","1953","Male","No","White","1","Retired.","$75,000 to less than $100,000","Postgraduate courses","Single family house not attached to any other house","1","$100 - $200","2","independent","2024-05-11 03:03:00","N/A","2024-05-11 03:03:13","968399"
"G-N_3JKguHddbCYCesBgYEGCI25cLpIFANiUeXe-jm57QUO_sFNKVsxpXMesSDvk","2024-05-11 15:30:08","2024-05-11 15:33:16","2024-05-11 15:33:16","","2024-05-11 15:30:08","1954","Prefer not to answer","No","American Indian or Alaskan Native","2","Retired.","$100,000 to less than $125,000","M.B.A. or law degree","Single family house not attached to any other house","1","$0 - $100","7","independent","2024-05-11 15:32:18","","2024-05-11 15:33:07","449086"
"df5o4sjBiFnavplB5jzUTp20lkRLmTUbiQ8dcvOp8u17zNMp6ywUurQaQ7_3dFE7","2024-05-12 01:38:09","2024-05-12 01:40:47","2024-05-12 01:40:47","","2024-05-12 01:38:09","1946","Male","No","White","2","Retired.","$60,000 to less than $75,000","Some college - but less than two years of college","Single family house not attached to any other house","1","$100 - $200","6","prefer_not_say","2024-05-12 01:40:31","","2024-05-12 01:40:41","955168"
"bMqt1a-FfKsTsH2EtemdlxXcn0nmZO4ukqjsfiXd0AnlQPGMAC7GETYbqhM4LnpN","2024-05-12 02:07:50","2024-05-12 02:10:19","2024-05-12 02:10:19","","2024-05-12 02:07:50","1958","Male","No","White","1","Retired.","$15,000 to less than $30,000","Some college - two years or more/A.A. degree","Single family house not attached to any other house","1","$100 - $200","5","democratic","2024-05-12 02:09:25","Living in a rural area means that alternative and public transportation methods are not generally available.","2024-05-12 02:10:14","736828"
"WAhmZo6w9q7eIrZEquGUS1Sd53n-QF7GQE5TI9dsx2wCiXs1RIvVt5xJYj__moRC","2024-05-12 05:45:08","2024-05-12 05:46:23","2024-05-12 05:46:23","","2024-05-12 05:45:08","1963","Female","No","Black or African American","1","Retired.","$15,000 to less than $30,000","Some college - two years or more/A.A. degree","Single family house not attached to any other house","1","$0 - $100","5","democratic","2024-05-12 05:46:11","","2024-05-12 05:46:15","170737"
"zLq-2KGLl0TgiyosfTj-SEVsoRh4PZTc_t61xq9LEpgwbXuDheyaznaSQSXqtlwi","2024-05-12 05:49:22","2024-05-12 05:51:25","2024-05-12 05:51:26","","2024-05-12 05:49:22","1946","Male","No","White","2","Retired.","$150,000 to less than $175,000","College graduate/bachelor's degree/B.A./B.S.","Single family house attached to one or more houses (townhouse, rowhome, condo, duplex, triplex, etc.)","1","$0 - $100","2","republican","2024-05-12 05:51:13","","2024-05-12 05:51:18","993997"
"fn0zs6WFE0peTCeY3a6h2PfoiGnk6cokmX-Dffw_DMVRQsT2RGETBQ42m73GtmnS","2024-05-12 12:19:31","2024-05-12 12:21:09","2024-05-12 12:21:09","","2024-05-12 12:19:32","1955","Male","No","White","2","Retired.","$40,000 to less than $50,000","Some college - but less than two years of college","Single family house not attached to any other house","2","$200 - $300","2","prefer_not_say","2024-05-12 12:21:00","","2024-05-12 12:21:04","366867"
"FWdLKcwiu5OlH_-Fk6xdNrLPsihA_W3idFDp6uBhVZOidVg8Dl0ZwYD5msr5YsZ8","2024-05-12 15:43:12","2024-05-12 15:45:05","2024-05-12 15:45:05","","2024-05-12 15:43:12","1975","Male","Yes","Do not know/prefer not to answer","2","Employed, working 40 or more hours per week.","Prefer not to answer","Technical or trade school","Single family house not attached to any other house","1","$100 - $200","7","prefer_not_say","2024-05-12 15:44:18","Battery operated vehicles are NOT the future of the industry. Give it up!","2024-05-12 15:45:02","372671"
"hSVP90QZAppjNyRuyKlCtPBA7ChcHuxpXw0Zq13EBYxMX_rFTqm0-1m-Io0JORdM","2024-05-12 20:41:04","2024-05-12 20:42:35","2024-05-12 20:42:35","","2024-05-12 20:41:04","1958","Male","No","White","2","Employed, working 40 or more hours per week.","Prefer not to answer","High school degree or equivalent (e.g. GED)","Single family house not attached to any other house","1","$0 - $100","2","prefer_not_say","2024-05-12 20:42:24","","2024-05-12 20:42:31","130481"
"coDBxQuNLvnAuPo6CGFgXkgDuUMtnvGUgBBX2evw8lE74BKl5dK2e6fP6NdCAZpg","2024-05-13 00:59:48","2024-05-13 01:02:44","2024-05-13 01:02:44","","2024-05-13 00:59:48","1955","Male","No","White","2","Employed, working 40 or more hours per week.","Prefer not to answer","Some college - two years or more/A.A. degree","Single family house not attached to any other house","1","$100 - $200","1","republican","2024-05-13 01:02:18","","2024-05-13 01:02:31","414293"
