"session","created","modified","ended","expired","time12","run_on_gas","plugged_in","electric_vehicle_Y_N","name_electric_vehicle","max_subsidy"
"","2024-07-02 20:32:56","","","","2024-07-02 20:32:56","","","","",""
"14O4L40kYKB5Sn5-utDEc_OpRiBK_iVw3VYTTLTJ-_0ncwZkvUEI_rQaClNl8TCw","2024-07-02 20:54:54","2024-07-02 20:58:20","2024-07-02 20:58:20","","2024-07-02 20:54:54","1, 2","2, 3","Yes","Tesla - trial run- Zain","4"
"QN0f2UxiADEYr8G7VuvTddhIuEXhoOLBfEjmAwQ55W7yEQABoRM5VMoxUWgxIega","2024-07-03 00:51:11","2024-07-03 00:51:55","2024-07-03 00:51:57","","2024-07-03 00:51:13","1, 2","2, 3","Yes","Volt","4"
"UB5r0P73KFEk807YFouZMuZLM0kOCQT_Xv90M3UXtEfcZiEz_hgsAgXo1crMpmrB","2024-07-03 00:56:23","2024-07-03 00:57:36","2024-07-03 00:57:37","","2024-07-03 00:56:25","1","3","Yes","Tesla","6"
"HGhk25W7Sbc3EAr8CAsKKCQyK1E1eMxdOHaKoTtX-FPFHGcWGJ6GoXYG9BrcHtEz","2024-07-03 00:56:48","2024-07-03 00:57:26","2024-07-03 00:57:28","","2024-07-03 00:56:50","1, 2","2, 3","Yes","Tesla","6"
"eRfhWRDslJPwazJT4snqlciWnMr43jZMQCmrJYGZeX3ctxRT3lzyeXLJowYXzLBl","2024-07-03 01:05:59","2024-07-03 01:06:43","2024-07-03 01:06:43","","2024-07-03 01:05:59","1, 2","2, 3","Yes","Tesla","6"
"RcKWvX7cQfX9FyuSQHgqy-zF3l-E4_45Qcns_fvkmCnBgbciY-Yp_BqVvBrYxNX3","2024-07-03 01:26:35","2024-07-03 01:27:29","2024-07-03 01:27:29","","2024-07-03 01:26:36","1, 2","1, 2, 3","No","","6"
"GaMe6if1f1ICKMXSLnKmbwKjVOXz0hOcRLPymy1egVDo_wTUQ3tu0MhhdAexXDoC","2024-07-03 01:53:59","2024-07-03 01:55:08","2024-07-03 01:55:08","","2024-07-03 01:53:59","1","2, 3","Yes","Tesla","6"
"SwjAbpbUfo6PyfvFUOGVcWWzvjt2CQQFWvBABG_56d6C9Xamj5BKx_Cg4DncHrVF","2024-07-03 03:13:37","2024-07-03 03:14:59","2024-07-03 03:14:59","","2024-07-03 03:13:38","1, 2","2, 3","Yes","Prius","4"
"iV0zp1jMa_SWMc0_JhFhpkwKl2u150QQDjrGJFBrtR0ZueySsQ3ozRuRG8i2Jshr","2024-07-03 03:13:59","2024-07-03 03:15:26","2024-07-03 03:15:26","","2024-07-03 03:13:59","1, 2","2, 3","Yes","Tesla","6"
"7JC73xp2EPXgR4Gq41BbJMQW3I9sUwxYELEyA7vKu7DXShQmFfJ_jPPWz1P-buSR","2024-07-03 03:16:39","2024-07-03 03:17:31","2024-07-03 03:17:32","","2024-07-03 03:16:39","1, 2","2, 3","Yes","Tesla","6"
"J1qD8JxKNireOIU1qy4WfDTnwtOalBeDve_oPHH8lg8IynSMCTetAYRFEbTMLG22","2024-07-03 03:56:11","2024-07-03 03:57:33","2024-07-03 03:57:33","","2024-07-03 03:56:12","2","4","Yes","Tesla","4"
"ZkwMrgD5VPYdkLzIT-Cpd5fxHs3_wH9APbBoL_Utbrmb3Ew5XxB7ZS7zHMQs7eok","2024-07-03 04:44:44","2024-07-03 04:45:48","2024-07-03 04:45:48","","2024-07-03 04:44:44","1, 2","1, 2, 3","Yes","George Marshall ","5"
"dkTvghDaD1ybcIVfEIktWJ14qWT2bSYReJFwPPAL7_3Yt11GfnXullfV1R_MIbKF","2024-07-03 07:04:27","2024-07-03 07:05:10","2024-07-03 07:05:10","","2024-07-03 07:04:28","1, 2","2, 3","Yes","Chevy Bolt","6"
"mHoAaBPAAsAC42uRJXMRNR8_N0OuZDJgWdyAYveGgCDUf_oQTqPpOJBWvHvX9Fvl","2024-07-03 10:36:55","2024-07-03 10:37:38","2024-07-03 10:37:38","","2024-07-03 10:36:55","1, 2","2, 3","Yes","BEV","4"
"vjnnxctkTdKP1_ocO2AWJbhzG0dmPjYEfGguKI53Vv8xlTHgIWEOEunGiW9cy1wi","2024-07-03 11:29:15","2024-07-03 11:29:48","2024-07-03 11:29:48","","2024-07-03 11:29:15","1, 2","2, 3","Yes","Tesla","4"
"r8Na-20BapK3DbGklIG4b1VhPlCx8YLnJ-wt30wrxz7O0oU0a_U0VSUswoL7Lczq","2024-07-03 12:26:51","2024-07-03 12:27:51","2024-07-03 12:27:51","","2024-07-03 12:26:52","1, 2","2","Yes","Tesla","6"
"KhOacCW5e6jyMSJR22m2-h5jRfZhacWShLyUZ_6eAgyHVlPLilBDSbCc_VlzOUIs","2024-07-03 12:48:10","2024-07-03 12:49:02","2024-07-03 12:49:02","","2024-07-03 12:48:10","1, 2","2, 3","Yes","Tesla Model 3","4"
"q_8tLmCGmP7EhZiWUU147qg_NyrT7GFmr5A1CLKbvgT25peo5_JevTMNKCFdrfw8","2024-07-03 13:19:49","2024-07-03 13:20:35","2024-07-03 13:20:35","","2024-07-03 13:19:49","1","2, 3","Yes","Tesla","6"
"yudIqEbMANnTjXQ_3FNhParelDzLDcQGhXiWl7f5RlBmRSBs9BiWRKeARBXyn_yM","2024-07-03 13:21:27","2024-07-03 13:22:19","2024-07-03 13:22:19","","2024-07-03 13:21:27","1, 2","2, 3","Yes","Tesla model S","6"
"PrQNf8txADiRfC1aOqSXHy95o0XzoToVZKP2PGpOgKC4NlFm25u3I--BlbQWOw_h","2024-07-03 16:47:10","2024-07-03 16:49:03","2024-07-03 16:49:03","","2024-07-03 16:47:10","1, 2","2, 3","Yes","Garbage car","4"
"Bx_s8CTeN5YSqV5lMDmbZBe1O2-IW3CTWv6ULdnHEG2XsLtpkqiVSXVveJXE9TJy","2024-07-03 19:15:21","2024-07-03 19:15:59","2024-07-03 19:16:00","","2024-07-03 19:15:21","1, 2","2, 3","Yes","tesla","6"
"Y7zBd1eV8-VPzX6xaWA1R63YurOFbtt_AR4hEDXapRRjEMuJkFuqX5KCtn7pBz4M","2024-07-03 19:34:35","2024-07-03 19:35:12","2024-07-03 19:35:12","","2024-07-03 19:34:35","1, 2","2, 3","No","","6"
"vK_IjQpWocOnfYNkMFhYGvxu05yqEFCFvRQuND0_ejtX9jLs4g8xnPTMvEA_J55q","2024-07-03 19:50:04","2024-07-03 19:50:55","2024-07-03 19:50:55","","2024-07-03 19:50:04","1, 2","2, 3","Yes","Chevrolet Bolt","4"
