"session","created","modified","ended","expired","time1","current_car_purchase","current_car_status","current_car_price","monthlypayment","gas_mileage","weeklyTravel","fuel_type","parking","neighbor_info","time2","household_vehicle","ride_friend__carpool","walk_bicycle_scooter","taxi__uber","public_transit","time3","buying_timing","future_vehicle_type","future_car_condition","future_car_finance","future_car_price","future_downpayment","future_car_category","time4"
"2cIbyysCplUtkqPunduPRxbvFAG3MBUUpIpjjMZ7s3I8BysAK3ElM5wPB0y4dN-Y","2024-05-11 01:22:54","2024-05-11 01:26:33","2024-05-11 01:26:33","","2024-05-11 01:22:54","Used car from a dealer","No","$10,000 - $14,999","$200 - $300","30 - 40 mpg","once a month","Gasoline","Driveway/ Carport","No","2024-05-11 01:24:23","About once a month","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-05-11 01:25:02","I'm not sure","Small Sedan","Used","Purchase","$10,000 - $14,999","I'm not sure","Definitely not","2024-05-11 01:26:33"
"fsIiONGQgs-gsnj6hoYgl0aEsWu9tTka_w_15HMVjzJ-lL8NMhO4-XeJ1EMw3qWK","2024-05-11 02:31:00","2024-05-11 02:31:52","2024-05-11 02:31:52","","2024-05-11 02:31:00","Used car informally","Yes","$25,000 - $29,999","$700 - $800","30 - 40 mpg","twice a week","Gasoline","Single-family garage","No","2024-05-11 02:31:21","About once a month","About once a week","4-5 times a week","2-3 times a week","About once a week","2024-05-11 02:31:32","Within 1 year","Compact SUV","Used","Lease","$30,000 - $34,999","$5,000 - $6,000","Probably Yes","2024-05-11 02:31:52"
"ahnjuUyT_wSZYPzcQumuf4a4fZ5EK6IvyzjFrVXpPILU2kr-iSF0GK-GFF1MnEn4","2024-05-11 03:02:48","2024-05-11 03:06:17","2024-05-11 03:06:17","","2024-05-11 03:02:48","Used car from a dealer","No","$5,000 - $9999","Paid all cash/ No loan","20 - 30 mpg","once in 2 weeks","Gasoline","Driveway/ Carport","No","2024-05-11 03:04:13","2-3 times a week","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-05-11 03:05:09","1-2 years into the future","Pick-up truck","Used","I'm not sure","$10,000 - $14,999","$5,000 - $6,000","Definitely not","2024-05-11 03:06:17"
"65C2ZpZx_ggQGjsicFrIVeM1DDz7j0u9LLA7kFNzChQbF79s3UdOtaDseuX592y0","2024-05-11 07:14:31","2024-05-11 07:16:14","","","2024-05-11 07:14:32","New","No","$60,000 - $69,999","Paid all cash/ No loan","20 - 30 mpg","once in 2 weeks","Gasoline","Driveway/ Carport","Yes","2024-05-11 07:15:33","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-05-11 07:16:15","","","","","","","",""
"Os9Xu2JERoAkwZM2PRfCpUfAyrRTOFnYQvdWZJVvLoUWyhx6L_8y-inNCdv5-osC","2024-05-11 13:17:41","2024-05-11 13:19:53","2024-05-11 13:19:54","","2024-05-11 13:17:41","New","Yes","$50,000 - $59,999","$700 - $800","20 - 30 mpg","once in 2 weeks","Gasoline","Shared parking garage","No","2024-05-11 13:18:32","2-3 times a week","Less than once a month or never","Once a day or more","Less than once a month or never","About once a month","2024-05-11 13:18:59","1-2 years into the future","Large Sedan, Compact SUV","New","Lease","$70,000 - $79,999","$2,000 - $3,000","Definitely Yes","2024-05-11 13:19:54"
"4iXK4CZ-pBwMd3fDA3Ng-HABVGKLssBvjkchMXvFOxjMrudgRLDOrrysFXMBZTaB","2024-05-11 20:10:07","2024-05-11 20:13:40","2024-05-11 20:13:40","","2024-05-11 20:10:07","Used car from a dealer","No","$35,000 - $39,999","Paid all cash/ No loan","20 - 30 mpg","once in 2 weeks","Gasoline","Single-family garage","No","2024-05-11 20:11:12","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-05-11 20:11:48","10+ years into the future","Sports Car","Used","Purchase","I'm not sure","I'm not sure","Definitely not","2024-05-11 20:13:40"
"qMdEpKzs-PyJR_VC19J-SjDepXamP0EeXvl8haMgEqxCPTPakcpuDZRCGw1Tic6a","2024-05-12 01:11:50","2024-05-12 01:14:48","2024-05-12 01:14:48","","2024-05-12 01:11:50","Received as a gift","No","$4,999 or less","Paid all cash/ No loan","not applicable","once a week","Gasoline","Driveway/ Carport","No","2024-05-12 01:12:57","4-5 times a week","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-05-12 01:13:45","3-5 years into the future","Small Sedan","Both","Purchase","$15,000 - $19,999","$0 - $1,000","Definitely not","2024-05-12 01:14:48"
"zcVBFeyw8Q4XnB4GMoIF66ubvWmZ7jszM8zHpB3gwnJ3yvBTVi4XVZdqixpRPcWj","2024-05-12 03:31:57","2024-05-12 03:34:16","2024-05-12 03:34:17","","2024-05-12 03:31:57","New","No","$50,000 - $59,999","Paid all cash/ No loan","20 - 30 mpg","once in 2 weeks","Hybrid","Single-family garage","No","2024-05-12 03:32:42","4-5 times a week","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-05-12 03:33:20","Within 1 year","Do not know","Both","Purchase","I'm not sure","$10,000 - $11,000","Probably Yes","2024-05-12 03:34:17"
"RyFdlkQ4WN4qq1kC7S1RhhChG8ouFtamV3wRW3FNZEc_g5E2O6QctOKJ_jNqnzzx","2024-05-12 22:14:51","2024-05-12 22:17:10","2024-05-12 22:17:10","","2024-05-12 22:14:51","New","No","$45,000 - $49,999","$1000 or more","50 - 60 mpg","twice a week","Gasoline","Single-family garage","No","2024-05-12 22:15:47","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-05-12 22:16:21","3-5 years into the future","Large SUV","New","Purchase","$50,000 - $59,999","$4,000 - $5,000","Probably not","2024-05-12 22:17:10"
"1NKefu1T9kNDwrdUH3uLy2DkYu-hxGfrkXfr9JlFc28A09YnAZATqmmYV698Xtst","2024-05-13 00:18:14","2024-05-13 00:26:19","2024-05-13 00:26:21","","2024-05-13 00:18:16","New","No","$30,000 - $34,999","Paid all cash/ No loan","30 - 40 mpg","once in 2 weeks","Gasoline","Single-family garage","I'm not sure","2024-05-13 00:21:22","Once a day or more","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-05-13 00:22:48","I'm not sure","Compact SUV","New","Purchase","$35,000 - $39,999","$20,000 or more","Definitely not","2024-05-13 00:26:21"
