"session","created","modified","ended","expired","time12","run_on_gas","plugged_in","electric_vehicle_Y_N","name_electric_vehicle","max_subsidy"
"2cIbyysCplUtkqPunduPRxbvFAG3MBUUpIpjjMZ7s3I8BysAK3ElM5wPB0y4dN-Y","2024-05-11 01:26:33","2024-05-11 01:27:22","2024-05-11 01:27:22","","2024-05-11 01:26:33","1","1, 2, 3","No","","6"
"fsIiONGQgs-gsnj6hoYgl0aEsWu9tTka_w_15HMVjzJ-lL8NMhO4-XeJ1EMw3qWK","2024-05-11 02:31:52","2024-05-11 02:32:08","2024-05-11 02:32:09","","2024-05-11 02:31:52","1","1","Yes","Rit","5"
"ahnjuUyT_wSZYPzcQumuf4a4fZ5EK6IvyzjFrVXpPILU2kr-iSF0GK-GFF1MnEn4","2024-05-11 03:06:18","2024-05-11 03:07:28","2024-05-11 03:07:28","","2024-05-11 03:06:18","1","3","Yes","Telsa","6"
"Os9Xu2JERoAkwZM2PRfCpUfAyrRTOFnYQvdWZJVvLoUWyhx6L_8y-inNCdv5-osC","2024-05-11 13:19:54","2024-05-11 13:20:59","2024-05-11 13:20:59","","2024-05-11 13:19:54","1","2, 3","Yes","Telsa","4"
"4iXK4CZ-pBwMd3fDA3Ng-HABVGKLssBvjkchMXvFOxjMrudgRLDOrrysFXMBZTaB","2024-05-11 20:13:40","2024-05-11 20:15:10","2024-05-11 20:15:10","","2024-05-11 20:13:40","1","2, 3","Yes","Tesla","6"
"qMdEpKzs-PyJR_VC19J-SjDepXamP0EeXvl8haMgEqxCPTPakcpuDZRCGw1Tic6a","2024-05-12 01:14:48","2024-05-12 01:15:40","2024-05-12 01:15:41","","2024-05-12 01:14:48","4","2","No","","6"
"zcVBFeyw8Q4XnB4GMoIF66ubvWmZ7jszM8zHpB3gwnJ3yvBTVi4XVZdqixpRPcWj","2024-05-12 03:34:17","2024-05-12 03:34:56","2024-05-12 03:34:56","","2024-05-12 03:34:17","1, 2","2, 3","Yes","Mustang Mach E","4"
"RyFdlkQ4WN4qq1kC7S1RhhChG8ouFtamV3wRW3FNZEc_g5E2O6QctOKJ_jNqnzzx","2024-05-12 22:17:11","2024-05-12 22:17:43","2024-05-12 22:17:44","","2024-05-12 22:17:11","4","2","No","","6"
"1NKefu1T9kNDwrdUH3uLy2DkYu-hxGfrkXfr9JlFc28A09YnAZATqmmYV698Xtst","2024-05-13 00:26:20","2024-05-13 00:27:58","2024-05-13 00:27:59","","2024-05-13 00:26:21","1","2, 3","Yes","Lightning","6"
"p0AkqZDp6cMi5XAdcWddNhg0vOCeZ8wu-s9BohZ_V9RE6G0hDegCqD0w3lkf7KbI","2024-05-13 03:32:32","2024-05-13 03:33:14","2024-05-13 03:33:14","","2024-05-13 03:32:32","4","1, 2, 3","No","","6"
"isIFPRkzLjMDLz9iI03TCoPmNwHFAheDg6z44acFsc0FCIAgSecobrpB65iud65L","2024-05-13 16:31:44","2024-05-13 16:32:18","2024-05-13 16:32:18","","2024-05-13 16:31:44","1, 2","2, 3","Yes","tesla cybertruck","6"
"XsfDtwSMjUAGuYHgB2SfcXYESo_-EiSc3856aBSrklBE6eQE7YeVaPakE8md_sLi","2024-05-13 17:21:00","2024-05-13 17:21:36","2024-05-13 17:21:36","","2024-05-13 17:21:00","1","2, 3","No","","3"
"g7iUKpTpk26VHaR67IVOFztohqTHWIDuozuQVZv8QzXZ9oxKchgyt4yvOkf_bKmp","2024-05-13 18:04:00","2024-05-13 18:04:23","2024-05-13 18:04:23","","2024-05-13 18:04:00","4","4","No","","6"
"msE7kCUEVEpzQnk4vgnKyImghVep3s5g9wd2gnO4j4EEQnBr1suEPUDxxdGA0wEe","2024-05-13 19:49:28","2024-05-13 19:50:15","2024-05-13 19:50:15","","2024-05-13 19:49:28","1, 2","3","Yes","Tesla","4"
"VXFijDSR8SGYcusxTt8mRbUq3J3l4Yl7WDI6Z_iYcBOKQK-kW7R3DR14y40t2clS","2024-05-13 20:49:55","2024-05-13 20:51:24","2024-05-13 20:51:24","","2024-05-13 20:49:55","2","3","Yes","Tesla","6"
"l2jcA-TuQ4WCg7WygwbnpA-DuxNkRtXmKNNKj5Nr8NRm9zivk44bGSKL_s_X35sZ","2024-05-14 00:37:44","2024-05-14 00:38:27","2024-05-14 00:38:28","","2024-05-14 00:37:45","1, 2","2, 3","Yes","Tesla","6"
"sWhd8Wx2EK5M6a7Frwy0Rze1BfGvIjEBkZ1t9PT8-3BsuEHz3Noay7B-NXmcCvNf","2024-05-14 14:16:01","2024-05-14 14:16:56","2024-05-14 14:16:56","","2024-05-14 14:16:01","1, 2","2, 3","Yes","Tesla model 3","4"
