,zip,geoid,res_ratio,bus_ratio,oth_ratio,tot_ratio,city,state
0,61873,16580,1.0,1.0,1.0,1.0,SAINT JOSEPH,IL
1,61874,16580,1.0,1.0,1.0,1.0,SAVOY,IL
2,61875,16580,1.0,1.0,1.0,1.0,SEYMOUR,IL
3,61877,16580,1.0,1.0,1.0,1.0,SIDNEY,IL
4,61878,16580,1.0,1.0,1.0,1.0,THOMASBORO,IL
5,61880,16580,1.0,1.0,1.0,1.0,TOLONO,IL
6,61871,16580,1.0,0.0,1.0,1.0,ROYAL,IL
7,61883,19180,1.0,1.0,1.0,1.0,WESTVILLE,IL
8,61884,16580,1.0,1.0,1.0,1.0,WHITE HEATH,IL
9,61917,99999,1.0,1.0,0.0,1.0,BROCTON,IL
10,61919,99999,1.0,1.0,1.0,1.0,CAMARGO,IL
11,61920,16660,1.0,1.0,1.0,1.0,CHARLESTON,IL
12,61924,99999,1.0,1.0,1.0,1.0,CHRISMAN,IL
13,61931,16660,1.0,1.0,1.0,1.0,HUMBOLDT,IL
14,61932,99999,1.0,1.0,1.0,1.0,HUME,IL
15,61936,16580,1.0,1.0,0.0,1.0,LA PLACE,IL
16,61938,16660,1.0,1.0,1.0,1.0,MATTOON,IL
17,61940,99999,1.0,1.0,0.0,1.0,METCALF,IL
18,61941,99999,1.0,1.0,0.0,1.0,MURDOCK,IL
19,61942,99999,1.0,1.0,1.0,1.0,NEWMAN,IL
20,61944,99999,1.0,1.0,1.0,1.0,PARIS,IL
21,61949,99999,1.0,0.0,1.0,1.0,REDMON,IL
22,62021,41180,1.0,1.0,1.0,1.0,DORSEY,IL
23,62022,41180,1.0,1.0,1.0,1.0,DOW,IL
24,62023,41180,0.0,0.0,1.0,1.0,EAGARVILLE,IL
25,62024,41180,1.0,1.0,1.0,1.0,EAST ALTON,IL
26,62025,41180,1.0,1.0,1.0,1.0,EDWARDSVILLE,IL
27,62026,41180,0.0,1.0,0.0,1.0,EDWARDSVILLE,IL
28,62027,99999,1.0,1.0,1.0,1.0,ELDRED,IL
29,62028,41180,1.0,1.0,1.0,1.0,ELSAH,IL
30,62030,41180,0.0,0.0,1.0,1.0,FIDELITY,IL
31,62031,41180,1.0,1.0,1.0,1.0,FIELDON,IL
32,62032,99999,1.0,1.0,1.0,1.0,FILLMORE,IL
33,62033,41180,1.0,1.0,1.0,1.0,GILLESPIE,IL
34,62034,41180,1.0,1.0,1.0,1.0,GLEN CARBON,IL
35,62035,41180,1.0,1.0,1.0,1.0,GODFREY,IL
36,62036,41180,1.0,1.0,1.0,1.0,GOLDEN EAGLE,IL
37,62037,41180,1.0,1.0,1.0,1.0,GRAFTON,IL
38,62040,41180,1.0,1.0,1.0,1.0,GRANITE CITY,IL
39,61957,99999,1.0,1.0,1.0,1.0,WINDSOR,IL
40,62001,41180,1.0,1.0,1.0,1.0,ALHAMBRA,IL
41,62002,41180,1.0,1.0,1.0,1.0,ALTON,IL
42,62006,41180,1.0,1.0,1.0,1.0,BATCHTOWN,IL
43,62009,41180,1.0,1.0,1.0,1.0,BENLD,IL
44,62010,41180,1.0,1.0,1.0,1.0,BETHALTO,IL
45,62011,99999,1.0,1.0,1.0,1.0,BINGHAM,IL
46,62012,41180,1.0,1.0,1.0,1.0,BRIGHTON,IL
47,62013,41180,1.0,1.0,1.0,1.0,BRUSSELS,IL
48,62014,41180,1.0,1.0,1.0,1.0,BUNKER HILL,IL
49,62015,99999,1.0,1.0,1.0,1.0,BUTLER,IL
