created_p1,ip_address,time_sec_p1,mc_car_make_1,zip_code,created_p2,time_sec_p2,current_car_purchase,current_car_status,current_car_price,monthlypayment,gas_mileage,weeklyTravel,fuel_type,parking,neighbor_info,household_vehicle,ride_friend__carpool,walk_bicycle_scooter,taxi__uber,public_transit,buying_timing,future_vehicle_type,future_car_condition,future_car_finance,future_car_price,future_downpayment,future_car_category,respondentID,created_p3,time_sec_p3,created_p4,time_sec_p4,run_on_gas,plugged_in,electric_vehicle_Y_N,name_electric_vehicle,max_subsidy,created_p5,time_sec_p5,feedback,yearOfBirth,gender,hispanic,ethnicity,people,employment_status,income,education,housing,own_rent,electric_bill,political_views,party,age,total_time_min
2024-07-03T01:50:17Z,100.19.39.162,31,acura,19103,2024-07-02T20:50:49Z,244.99999999999997,Used car from a dealer,No,"$5,000 - $9999",Paid all cash/ No loan,20 - 30 mpg,once in 2 weeks,Gasoline,Street Parking,I'm not sure,About once a month,Less than once a month or never,About once a week,Less than once a month or never,About once a month,3-5 years into the future,Large SUV,Both,I'm not sure,"$20,000 - $24,999, $25,000 - $29,999, $30,000 - $34,999","$10,000 - $11,000",Probably not,1251,2024-07-02T20:58:20Z,197,2024-07-02T20:54:54Z,206,"1, 2","2, 3",Yes,Tesla - trial run- Zain,4,2024-07-02T21:01:38Z,66,Test Run - Zain,1986,Male,No,"American Indian or Alaskan Native, Asian, Middle Eastern and North African (MENA), Native Hawaiian or Other Pacific Islander",2,"Employed, working 1-39 hours per week.","$60,000 to less than $75,000",Master's degree,Building with 2-4 apartments/condos/studios,2,$0 - $100,4,prefer_not_say,38,12.416666666666666
2024-07-03T05:45:07Z,35.144.38.41,134,chevrolet,87508,2024-07-03T00:47:20Z,233,New,No,"$80,000 - $89,999",$600 - $700,10 - 20 mpg,once in 2 weeks,Gasoline,"Driveway/ Carport, Single-family garage",No,Less than once a month or never,Less than once a month or never,About once a week,Less than once a month or never,Less than once a month or never,3-5 years into the future,Sports Car,Used,Purchase,"$45,000 - $49,999, $50,000 - $59,999","$20,000 or more",Definitely not,2603,2024-07-03T00:51:56Z,195,2024-07-03T00:51:11Z,46,"1, 2","2, 3",Yes,Volt,4,2024-07-03T00:55:10Z,114,Should ask about other vehicles,1949,Male,No,White,1,Retired.,Prefer not to answer,Ph.D. or M.D,Single family house not attached to any other house,1,$300 - $400,3,republican,75,12.033333333333333
2024-07-03T05:49:34Z,73.208.228.64,69,hyundai,60175,2024-07-03T00:50:42Z,2153,New,No,"$35,000 - $39,999",Paid all cash/ No loan,20 - 30 mpg,once in 2 weeks,Gasoline,Single-family garage,I'm not sure,2-3 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,1-2 years into the future,Compact SUV,New,I'm not sure,"$35,000 - $39,999",I'm not sure,Definitely not,2993,2024-07-03T01:27:29Z,196,2024-07-03T01:26:35Z,54,"1, 2","1, 2, 3",No,NA,6,2024-07-03T01:30:45Z,112,NA,1947,Male,No,White,2,Retired.,"$100,000 to less than $125,000",Some college - two years or more/A.A. degree,"Single family house attached to one or more houses (townhouse, rowhome, condo, duplex, triplex, etc.)",1,$0 - $100,4,prefer_not_say,77,43.06666666666667
2024-07-03T05:50:40Z,145.224.13.203,109,kia,79605,2024-07-03T00:52:28Z,237,New,No,"$20,000 - $24,999",$200 - $300,20 - 30 mpg,once a week,Gasoline,Driveway/ Carport,I'm not sure,Once a day or more,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,10+ years into the future,Compact SUV,Used,Purchase,"$5,000 - $9999",I'm not sure,Definitely not,3085,2024-07-03T00:57:36Z,201,2024-07-03T00:56:23Z,74,1,3,Yes,Tesla,6,2024-07-03T01:00:55Z,152,NA,1957,Male,No,White,2,Retired.,"$15,000 to less than $30,000",High school degree or equivalent (e.g. GED),Single family house not attached to any other house,1,$100 - $200,2,republican,67,12.883333333333333
2024-07-03T05:53:14Z,72.196.236.19,64,chevrolet,22152,2024-07-03T00:54:17Z,153,New,No,"$30,000 - $34,999",$300 - $400,20 - 30 mpg,once in 2 weeks,Gasoline,Driveway/ Carport,No,4-5 times a week,2-3 times a week,4-5 times a week,Less than once a month or never,Less than once a month or never,10+ years into the future,Compact SUV,New,Purchase,"$30,000 - $34,999","$9,000 - $10,000",Maybe/ Not sure,2530,2024-07-03T00:57:26Z,182,2024-07-03T00:56:48Z,40,"1, 2","2, 3",Yes,Tesla,6,2024-07-03T01:00:27Z,74,NA,1956,Male,No,White,2,Retired.,"$100,000 to less than $125,000",Some college - two years or more/A.A. degree,Single family house not attached to any other house,1,$0 - $100,3,independent,68,8.55
2024-07-03T06:01:43Z,173.76.95.80,78,chevrolet,02351,2024-07-03T01:03:01Z,178,New,No,"$35,000 - $39,999",$300 - $400,10 - 20 mpg,once a week,Gasoline,Single-family garage,No,Once a day or more,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,1-2 years into the future,Pick-up truck,Used,Purchase,"$40,000 - $44,999","$20,000 or more",Probably not,2228,2024-07-03T01:06:44Z,178,2024-07-03T01:05:59Z,44,"1, 2","2, 3",Yes,Tesla,6,2024-07-03T01:09:42Z,105,NA,1950,Male,No,White,2,Retired.,"$100,000 to less than $125,000",College graduate/bachelor's degree/B.A./B.S.,Single family house not attached to any other house,1,$100 - $200,3,democratic,74,9.716666666666667
2024-07-03T06:50:00Z,65.99.118.82,56,cadillac,03867,2024-07-03T01:50:56Z,183,New,No,"$60,000 - $69,999",Paid all cash/ No loan,20 - 30 mpg,once a month,Gasoline,Single-family garage,No,Once a day or more,Less than once a month or never,About once a month,Less than once a month or never,Less than once a month or never,3-5 years into the future,Large SUV,New,Purchase,"$60,000 - $69,999",I'm not sure,Definitely not,43,2024-07-03T01:55:09Z,159,2024-07-03T01:53:59Z,69,1,"2, 3",Yes,Tesla,6,2024-07-03T01:57:48Z,230,NA,1957,Male,No,White,2,Retired.,Prefer not to answer,Some college - two years or more/A.A. degree,Single family house not attached to any other house,1,$0 - $100,2,independent,67,11.616666666666667
2024-07-03T08:08:49Z,71.64.24.54,69,honda,43210,2024-07-03T03:09:58Z,219,New,No,"$25,000 - $29,999",Paid all cash/ No loan,20 - 30 mpg,once in 2 weeks,Gasoline,Single-family garage,No,Once a day or more,Less than once a month or never,About once a week,Less than once a month or never,Less than once a month or never,6-9 years into the future,Compact SUV,Both,Purchase,"$25,000 - $29,999",$14000 - $15000,Maybe/ Not sure,1262,2024-07-03T03:15:00Z,319,2024-07-03T03:13:37Z,82,"1, 2","2, 3",Yes,Prius,4,2024-07-03T03:20:19Z,130,NA,1950,Male,No,White,3,Retired.,"$75,000 to less than $100,000",College graduate/bachelor's degree/B.A./B.S.,Single family house not attached to any other house,1,$200 - $300,2,independent,74,13.65
2024-07-03T08:13:03Z,24.181.53.45,60,jeep,29657,2024-07-03T03:14:04Z,154,Used car from a dealer,No,"$35,000 - $39,999",Paid all cash/ No loan,20 - 30 mpg,once in 2 weeks,Gasoline,Single-family garage,No,About once a month,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,3-5 years into the future,Pick-up truck,Used,Purchase,"$25,000 - $29,999","$9,000 - $10,000",Definitely not,4307,2024-07-03T03:17:32Z,108,2024-07-03T03:16:39Z,53,"1, 2","2, 3",Yes,Tesla,6,2024-07-03T03:19:20Z,77,NA,1959,Male,No,White,2,Retired.,"$100,000 to less than $125,000",M.B.A. or law degree,Single family house not attached to any other house,1,$100 - $200,1,republican,65,7.533333333333333
2024-07-03T08:51:59Z,70.112.22.163,67,ford,78737,2024-07-03T03:53:07Z,184,New,No,"$50,000 - $59,999",Paid all cash/ No loan,10 - 20 mpg,once a week,Gasoline,Driveway/ Carport,I'm not sure,2-3 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,1-2 years into the future,Pick-up truck,New,Purchase,"$80,000 - $89,999","$20,000 or more",Maybe/ Not sure,2233,2024-07-03T03:57:33Z,167,2024-07-03T03:56:11Z,82,2,4,Yes,Tesla,4,2024-07-03T04:00:20Z,113,NA,1958,Prefer not to answer,No,White,2,Retired.,"$75,000 to less than $100,000",Some college - but less than two years of college,Single family house not attached to any other house,1,$200 - $300,2,republican,66,10.216666666666667
